budget,request_index,phase,step,prompt_tokens,cache_hit_tokens,cache_miss_tokens,cache_hit_rate,output_tokens,timestamp
128k,1,main,1,3905,3712,193,0.9505761843790013,93,2026-09-14T09:36:33.697638Z
128k,2,main,2,4222,3968,254,0.9398389388915206,85,2026-09-14T09:36:36.236394Z
128k,3,main,3,8189,4224,3965,0.5158138966906827,104,2026-09-14T09:36:39.391954Z
128k,4,main,4,8636,8192,444,0.9485873089393237,113,2026-09-14T09:36:42.043496Z
128k,5,main,5,17044,8704,8340,0.5106782445435344,32768,2026-09-14T09:38:09.063245Z
128k,6,main,6,52541,17024,35517,0.32401362745284634,211,2026-09-14T09:38:14.023754Z
128k,7,main,7,61383,52736,8647,0.8591303781177199,181,2026-09-14T09:38:18.487160Z
128k,8,main,8,63130,61440,1690,0.9732298431807381,487,2026-09-14T09:38:23.842375Z
128k,9,main,9,68148,63616,4532,0.933497681516699,158,2026-09-14T09:38:28.565443Z
128k,10,main,10,72740,68224,4516,0.9379158647236734,156,2026-09-14T09:38:33.172458Z
128k,11,main,11,75129,72832,2297,0.969425920749644,270,2026-09-14T09:38:37.801219Z
128k,12,main,12,78334,75392,2942,0.9624428728266142,361,2026-09-14T09:38:42.977224Z
128k,13,main,13,83081,78592,4489,0.9459683922918598,863,2026-09-14T09:38:50.968108Z
128k,14,main,14,85890,83840,2050,0.9761322621958318,1059,2026-09-14T09:38:58.159692Z
128k,15,main,15,91375,86912,4463,0.95115731874145,761,2026-09-14T09:39:05.340277Z
128k,16,main,16,92241,92032,209,0.9977341962901529,379,2026-09-14T09:39:10.950186Z
128k,17,main,17,93630,92544,1086,0.9884011534764499,1771,2026-09-14T09:39:22.533249Z
128k,18,main,18,95626,95360,266,0.997218329742957,283,2026-09-14T09:39:29.260345Z
128k,19,main,19,96104,95872,232,0.9975859485557312,4382,2026-09-14T09:39:49.037688Z
128k,20,a_prefix,,102978,100480,2498,0.9757423915787838,3139,2026-09-14T09:40:11.531405Z
128k,21,main,20,30303,3840,26463,0.12672012672012672,668,2026-09-14T09:40:16.640181Z
128k,22,main,21,32249,30848,1401,0.9565567924586809,2419,2026-09-14T09:40:27.212207Z
128k,23,main,22,35091,34560,531,0.9848679148499615,816,2026-09-14T09:40:33.317800Z
128k,24,main,23,37053,35840,1213,0.9672631095997625,1835,2026-09-14T09:40:42.963663Z
128k,25,main,24,38997,38784,213,0.9945380413877991,1180,2026-09-14T09:40:51.678977Z
128k,26,main,25,40560,40064,496,0.9877712031558186,1062,2026-09-14T09:40:59.490357Z
128k,27,main,26,42285,41600,685,0.9838004020338181,5201,2026-09-14T09:41:22.129702Z
128k,28,main,27,47692,47360,332,0.9930386647655791,76,2026-09-14T09:41:36.951313Z
128k,29,main,28,47909,47616,293,0.9938842388695235,120,2026-09-14T09:42:12.151060Z
128k,30,main,29,48060,47616,444,0.9907615480649189,1846,2026-09-14T09:42:22.910150Z
128k,31,main,30,50020,49792,228,0.9954418232706918,2158,2026-09-14T09:42:35.149638Z
128k,32,main,31,53021,52096,925,0.9825540823447313,696,2026-09-14T09:42:42.489615Z
128k,33,main,32,54795,53632,1163,0.9787754357149375,2125,2026-09-14T09:42:54.351918Z
128k,34,main,33,57999,56832,1167,0.9798789634304039,466,2026-09-14T09:43:01.184591Z
128k,35,main,34,58569,58368,201,0.9965681503867233,398,2026-09-14T09:43:07.824283Z
128k,36,main,35,59660,58880,780,0.9869259135098893,404,2026-09-14T09:43:14.848848Z
128k,37,main,36,61593,60032,1561,0.9746562109330605,2644,2026-09-14T09:43:27.148876Z
128k,38,main,37,64726,64128,598,0.9907610542903934,130,2026-09-14T09:43:42.365967Z
128k,39,main,38,64924,64640,284,0.9956256546115458,150,2026-09-14T09:43:46.493943Z
128k,40,main,39,65183,65024,159,0.9975607136830155,121,2026-09-14T09:43:51.365077Z
128k,41,main,40,69107,65280,3827,0.9446221077459591,1156,2026-09-14T09:43:59.909589Z
128k,42,main,41,70354,70144,210,0.9970150950905421,1016,2026-09-14T09:44:06.807953Z
128k,43,main,42,71448,71296,152,0.9978725786586049,142,2026-09-14T09:44:11.577452Z
128k,44,main,43,71732,71552,180,0.9974906596776891,100,2026-09-14T09:44:17.634547Z
128k,45,main,44,71924,71680,244,0.9966075301707358,312,2026-09-14T09:44:22.797971Z
128k,46,main,45,72411,72192,219,0.9969755976301943,160,2026-09-14T09:44:28.650673Z
128k,47,main,46,73597,72448,1149,0.9843879505958123,648,2026-09-14T09:44:37.265537Z
256k,1,main,1,3905,3712,193,0.9505761843790013,92,2026-09-14T10:08:58.149501Z
256k,2,main,2,4224,3968,256,0.9393939393939394,115,2026-09-14T10:09:00.630048Z
256k,3,main,3,4528,4096,432,0.9045936395759717,91,2026-09-14T10:09:02.839918Z
256k,4,main,4,9965,4608,5357,0.4624184646261917,85,2026-09-14T10:09:06.148644Z
256k,5,main,5,14860,9984,4876,0.6718707940780619,45,2026-09-14T10:09:09.394785Z
256k,6,main,6,18155,14848,3307,0.8178463233269072,45,2026-09-14T10:09:12.753478Z
256k,7,main,7,21540,18176,3364,0.8438254410399257,273,2026-09-14T10:09:17.064958Z
256k,8,main,8,23892,21248,2644,0.8893353423740165,138,2026-09-14T10:09:20.597755Z
256k,9,main,9,30861,23552,7309,0.7631638637762872,148,2026-09-14T10:09:24.360701Z
256k,10,main,10,32179,30592,1587,0.9506821218807296,96,2026-09-14T10:09:27.887607Z
256k,11,main,11,36492,31872,4620,0.8733969089115422,141,2026-09-14T10:09:31.147066Z
256k,12,main,12,40425,36224,4201,0.8960791589363017,290,2026-09-14T10:09:35.882291Z
256k,13,main,13,41684,40320,1364,0.9672776125131946,189,2026-09-14T10:09:39.726082Z
256k,14,main,14,46061,41216,4845,0.89481339962224,224,2026-09-14T10:09:45.024245Z
256k,15,main,15,47374,45568,1806,0.9618778232785916,430,2026-09-14T10:09:55.454107Z
256k,16,main,16,49370,46848,2522,0.9489163459590845,100,2026-09-14T10:10:01.846236Z
256k,17,main,17,53974,48896,5078,0.9059176640604736,95,2026-09-14T10:10:05.720429Z
256k,18,main,18,58436,53504,4932,0.915599972619618,112,2026-09-14T10:10:09.749821Z
256k,19,main,19,62993,57984,5009,0.9204832282952075,291,2026-09-14T10:10:14.810620Z
256k,20,main,20,64133,62464,1669,0.9739759562159886,600,2026-09-14T10:10:20.175247Z
256k,21,main,21,68717,63616,5101,0.9257680050060393,110,2026-09-14T10:10:25.187261Z
256k,22,main,22,73348,68224,5124,0.9301412444783771,236,2026-09-14T10:10:29.855215Z
256k,23,main,23,77487,72832,4655,0.9399254068424381,807,2026-09-14T10:10:36.278259Z
256k,24,main,24,82939,77056,5883,0.9290683514390093,289,2026-09-14T10:10:42.394005Z
256k,25,main,25,83494,82432,1062,0.9872805231513642,1403,2026-09-14T10:10:50.678971Z
256k,26,main,26,84988,83072,1916,0.9774556407963477,122,2026-09-14T10:10:54.853375Z
256k,27,main,27,85201,84480,721,0.9915376580087089,1361,2026-09-14T10:11:01.977627Z
256k,28,main,28,86649,84736,1913,0.9779224226476936,97,2026-09-14T10:11:07.907437Z
256k,29,main,29,86846,86144,702,0.991916726158948,138,2026-09-14T10:11:13.404875Z
256k,30,main,30,87113,86400,713,0.9918152284963209,209,2026-09-14T10:11:18.306067Z
256k,31,main,31,87593,86656,937,0.9893027981688034,215,2026-09-14T10:11:28.184041Z
256k,32,main,32,88172,87168,1004,0.9886131651771537,397,2026-09-14T10:11:38.064885Z
256k,33,main,33,89410,87680,1730,0.9806509339000112,543,2026-09-14T10:11:47.596091Z
256k,34,main,34,90526,88960,1566,0.9827011024457062,114,2026-09-14T10:11:58.050707Z
256k,35,main,35,92026,89984,2042,0.9778106187381826,363,2026-09-14T10:12:03.703603Z
256k,36,main,36,92777,91520,1257,0.9864513834247712,421,2026-09-14T10:12:13.036962Z
256k,37,main,37,93446,92288,1158,0.9876078162789205,812,2026-09-14T10:12:20.349143Z
256k,38,main,38,94490,92928,1562,0.9834691501746217,890,2026-09-14T10:12:27.960301Z
256k,39,main,39,95554,93952,1602,0.9832346107959897,190,2026-09-14T10:12:33.905858Z
256k,40,main,40,99481,95104,4377,0.9560016485560057,1100,2026-09-14T10:12:42.568688Z
256k,41,main,41,100786,98944,1842,0.9817236520945369,1118,2026-09-14T10:12:51.734486Z
256k,42,main,42,102104,100352,1752,0.9828410248374206,905,2026-09-14T10:12:59.870866Z
256k,43,main,43,103127,101632,1495,0.9855033114509294,931,2026-09-14T10:13:08.839059Z
256k,44,main,44,104267,102656,1611,0.984549282131451,1439,2026-09-14T10:13:18.418648Z
256k,45,main,45,105899,103808,2091,0.9802547710554396,1016,2026-09-14T10:13:28.530526Z
256k,46,main,46,107044,105472,1572,0.9853144501326557,1245,2026-09-14T10:13:39.170966Z
256k,47,main,47,108433,106624,1809,0.983316886925567,1084,2026-09-14T10:13:48.082515Z
256k,48,main,48,109696,107904,1792,0.9836639439906651,1116,2026-09-14T10:13:56.027179Z
256k,49,main,49,110940,109184,1756,0.9841716243014242,1236,2026-09-14T10:14:04.436814Z
256k,50,main,50,112256,110464,1792,0.984036488027366,143,2026-09-14T10:14:11.028115Z
